name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,setup_time,solve_time
ZECEVIC2,SCS,optimal,9.071200000000001e-05,50,-4.124788895431466,-4.125,2,4,7,4.8591e-05,4.2121e-05
QSHIP08L,SCS,optimal,6.044786418,10950,2375913.766323808,2376040.6,4283,5061,86075,0.029493289000000002,6.015293129
QFORPLAN,SCS,optimal,0.006612959,75,6632688685.817594,7456631500.0,421,582,6112,0.003601509,0.00301145
CONT-101,SCS,optimal,14.495998992,5350,0.19540711112655718,0.19552733,10197,20295,62496,0.098628292,14.3973707
AUG2DC,SCS,optimal,0.11869517399999999,25,1818366.3853293837,1818368.1,20200,30200,80400,0.058141662,0.060553512
LISWET6,SCS,optimal,0.21190329600000002,225,24.98252630893785,24.995748,10002,20002,50004,0.025002894,0.18690040200000002
QPILOTNO,SCS,optimal,10.533983279000001,39325,4730217.7567659,4728586.9,2172,3147,16105,0.014881656,10.519101623000001
STADAT2,SCS,optimal,85.38082964800002,441700,-32.57772747845438,-32.626665,2001,6000,13998,0.006598139,85.37423150900001
BOYD1,SCS,optimal,4.8112572909999995,475,-72675386.84256837,-61735220.0,93261,93279,745507,0.439555101,4.37170219
PRIMALC5,SCS,optimal,0.016950518999999997,800,-427.24094894317085,-427.23233,287,295,2869,0.001127378,0.015823141
QGROW22,SCS,time_limit,1000.00629806,11936875,-inf,-149628950.0,946,1386,10837,0.004687767,1000.001610293
PRIMAL3,SCS,optimal,0.024235801,50,-0.13578720575057263,-0.13575584,745,856,23036,0.019224138,0.005011663
CVXQP1_L,SCS,optimal,175.951548507,15375,108704873.37937191,108704800.0,10000,15000,94966,4.602110952,171.349437555
QPCBOEI1,SCS,optimal,2.409187464,56425,11503910.114245445,11503914.0,384,735,4253,0.0027535850000000002,2.406433879
QBORE3D,SCS,optimal,0.43467368100000003,18475,3119.080652321163,3100.2008,315,548,1872,0.001422694,0.43325098700000003
QCAPRI,SCS,optimal,0.277741995,8650,53335422.63327295,66793293.0,353,624,3852,0.001886021,0.275855974
CONT-300,SCS,optimal,174.780323354,3425,0.1613173739971871,0.19151232,90597,180895,562496,5.117174041999999,169.663149312
QSC205,SCS,optimal,0.00298725,125,-0.0060103474167581125,-0.0058139518,203,408,785,0.000719992,0.002267258
CONT-050,SCS,optimal,0.5519586510000001,1275,-4.563147324856882,-4.5638509,2597,4998,17199,0.015012918000000002,0.536945733
S268,SCS,optimal,0.0005683800000000001,475,0.2641152691176103,5.7310705e-07,5,10,55,9.3902e-05,0.000474478
HS52,SCS,optimal,0.000129023,25,5.326647556083126,5.3266476,5,8,21,8.2112e-05,4.6911000000000005e-05
