name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,status_polish,setup_time,solve_time,update_time,rho_updates
QADLITTL,OSQP_high,optimal,0.026002835000000002,6350,480318.8479434788,480318.86,97,153,637,0,0.000260584,0.025742251,0.0,21
QSCRS8,OSQP_high,time_limit,1000.000100538,27510550,904.5600300003509,904.56001,1169,1659,4560,0,0.001899561,999.998200977,0.0,120
HS268,OSQP_high,optimal,0.000126242,250,1.951775630004704e-09,5.7310705e-07,5,10,55,0,2.844e-05,9.7802e-05,0.0,3
LOTSCHD,OSQP_high,optimal,0.000235654,350,2398.4158871237623,2398.4159,12,19,72,0,4.33e-05,0.000192354,0.0,1
GENHS28,OSQP_high,optimal,6.9242e-05,50,0.9271736960999127,0.92717369,10,18,62,0,3.2451e-05,3.6791e-05,0.0,0
VALUES,OSQP_high,optimal,0.022072422,1875,-1.3966211485600126,-1.3966211,202,203,7846,0,0.000696722,0.0213757,0.0,2
UBH1,OSQP_high,optimal,11.917416752,16550,1.1160014874992135,1.1160008,18009,30009,72012,0,0.020101269,11.897315483,0.0,4
QSCORPIO,OSQP_high,time_limit,1000.000055598,73186189,1880.2832120168712,1880.5096,358,746,1842,0,0.000757123,999.999298475,0.0,110234
QSCSD6,OSQP_high,time_limit,1000.000190765,24928345,50.80310578078434,50.808214,1350,1497,8378,0,0.002250397,999.997940368,0.0,94858
LISWET5,OSQP_high,time_limit,1000.0012849970001,2497372,25.03422277321988,25.034253,10002,20002,50004,0,0.013573722,999.987711275,0.0,3
QSTAIR,OSQP_high,optimal,7.210859354,197025,7985452.7509518545,7985452.8,467,823,6293,0,0.001924252,7.208935102,0.0,6
QSHIP04S,OSQP_high,optimal,0.311772217,7975,2424993.6723401286,2424993.7,1458,1860,5908,0,0.00243576,0.309336457,0.0,2
LISWET2,OSQP_high,time_limit,1000.000962981,2555956,24.997926084505707,24.998076,10002,20002,50004,0,0.012406474,999.988556507,0.0,3
HS118,OSQP_high,optimal,0.000508088,750,664.8204502385439,664.82045,15,32,69,0,4.5111e-05,0.000462977,0.0,2
MOSARQP2,OSQP_high,optimal,0.024168206,375,-1597.4821175344957,-1597.4821,900,1500,4820,0,0.002085025,0.022083181,0.0,0
GOULDQP3,OSQP_high,optimal,0.001969442,50,2.0627839729277184,2.062784,699,1048,3838,0,0.000893874,0.001075568,0.0,0
DUALC5,OSQP_high,optimal,0.001392783,175,427.2323263248,427.23233,8,286,2296,0,0.000235404,0.001157379,0.0,2
ZECEVIC2,OSQP_high,optimal,5.8821e-05,125,-4.125000002406868,-4.125,2,4,7,0,2.0881e-05,3.794e-05,0.0,0
QSHIP08L,OSQP_high,optimal,10.447539438,21125,2376040.6168760494,2376040.6,4283,5061,86075,0,0.023664058,10.42387538,0.0,4
QFORPLAN,OSQP_high,optimal,23.882989818,1048200,7456515761.295147,7456631500.0,421,582,6112,0,0.00242968,23.880560138,0.0,7
CONT-101,OSQP_high,optimal,51.444463774,22025,0.19552600550564914,0.19552733,10197,20295,62496,0,0.09278129,51.351682484,0.0,18
AUG2DC,OSQP_high,optimal,0.105770503,75,1818368.0655705854,1818368.1,20200,30200,80400,0,0.030659692,0.075110811,0.0,1
LISWET6,OSQP_high,time_limit,1000.001261883,2530377,24.995687917342366,24.995748,10002,20002,50004,0,0.012617207,999.988644676,0.0,3
QPILOTNO,OSQP_high,time_limit,1000.00036699,5162992,4728557.602073979,4728586.9,2172,3147,16105,0,0.010418321,999.989948669,0.0,8
STADAT2,OSQP_high,time_limit,1000.000334243,10289053,-32.62667384442063,-32.626665,2001,6000,13998,0,0.003210343,999.9971239,0.0,545
BOYD1,OSQP_high,time_limit,1000.008520693,197043,-61735219.64027422,-61735220.0,93261,93279,745507,0,0.186921921,999.821598772,0.0,3
PRIMALC5,OSQP_high,time_limit,1000.000022981,84876149,-467517.7909142731,-427.23233,287,295,2869,0,0.000405937,999.999617044,0.0,75428
QGROW22,OSQP_high,optimal,418.185458833,7272575,-149628953.5177552,-149628950.0,946,1386,10837,0,0.002695864,418.182762969,0.0,1795
