name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,setup_time,solve_time
BOYD1,PROXQP,time_limit,1000.0,0,inf,-61735220.0,93261,93279,745507,,
PRIMALC5,PROXQP,optimal,0.033173477,7,-427.21045253361757,-427.23233,287,295,2869,0.000557608,0.032615869
QGROW22,PROXQP,optimal,2.819801987,379,-149628955.3419146,-149628950.0,946,1386,10837,0.002004788,2.8177971989999997
PRIMAL3,PROXQP,optimal,0.022008631,9,-0.13573218371871013,-0.13575584,745,856,23036,0.001848096,0.020160535
CVXQP1_L,PROXQP,time_limit,1000.0,0,inf,108704800.0,10000,15000,94966,,
QPCBOEI1,PROXQP,optimal,0.11674783700000001,44,11503881.70952928,11503914.0,384,735,4253,0.0007521299999999999,0.115995707
QBORE3D,PROXQP,optimal,0.28974110499999994,137,3100.1214969272364,3100.2008,315,548,1872,0.000618609,0.28912249599999995
QCAPRI,PROXQP,optimal,1.04405068,585,66780330.99756534,66793293.0,353,624,3852,0.0013567599999999998,1.04269392
CONT-300,PROXQP,time_limit,1000.0,0,inf,0.19151232,90597,180895,562496,,
QSC205,PROXQP,optimal,0.017960893999999998,18,-0.00594907125501421,-0.0058139518,203,408,785,0.000382936,0.017577957999999998
CONT-050,PROXQP,optimal,2.924581897,10,-4.5634467983669715,-4.5638509,2597,4998,17199,0.0034535909999999998,2.921128306
S268,PROXQP,optimal,0.000217144,0,0.006480807376647135,5.7310705e-07,5,10,55,0.000123032,9.411200000000001e-05
HS52,PROXQP,optimal,0.00013767199999999998,1,5.326234260148551,5.3266476,5,8,21,4.9301e-05,8.837099999999998e-05
