name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,setup_time,solve_time,update_time
BOYD1,PIQP_high,optimal,0.6921167090000001,33,-61735219.64033586,-61735220.0,93261,93279,745507,0.070162346,0.6219543630000001,0.0
PRIMALC5,PIQP_high,optimal,0.000811123,9,-427.2323267731152,-427.23233,287,295,2869,0.000218743,0.00059238,0.0
QGROW22,PIQP_high,optimal,0.023023709,31,-149628953.47137606,-149628950.0,946,1386,10837,0.001922983,0.021100726,0.0
PRIMAL3,PIQP_high,optimal,0.021238449,8,-0.13575583656897305,-0.13575584,745,856,23036,0.010470772000000001,0.010767677,0.0
CVXQP1_L,PIQP_high,optimal,46.204986948000005,13,108704799.91553831,108704800.0,10000,15000,94966,0.035139209000000005,46.169847739000005,0.0
QPCBOEI1,PIQP_high,optimal,0.008692482000000001,19,11503914.0097942,11503914.0,384,735,4253,0.0011443100000000002,0.0075481720000000006,0.0
QBORE3D,PIQP_high,optimal,0.002684176,18,3100.200802568096,3100.2008,315,548,1872,0.00058044,0.002103736,0.0
QCAPRI,PIQP_high,optimal,0.008697060000000001,36,66793293.267330766,66793293.0,353,624,3852,0.000833574,0.007863486000000001,0.0
CONT-300,PIQP_high,optimal,45.49886187800001,19,0.19151228607268556,0.19151232,90597,180895,562496,0.146727873,45.352134005,0.0
QSC205,PIQP_high,optimal,0.000994078,18,-0.005813953020951305,-0.0058139518,203,408,785,0.000285455,0.000708623,0.0
CONT-050,PIQP_high,optimal,0.078695495,12,-4.5638509042800575,-4.5638509,2597,4998,17199,0.003912148,0.074783347,0.0
S268,PIQP_high,optimal,5.0441e-05,7,5.914736902923323e-06,5.7310705e-07,5,10,55,2.1081e-05,2.9360000000000003e-05,0.0
HS52,PIQP_high,optimal,2.8040000000000003e-05,2,5.32664756420859,5.3266476,5,8,21,1.809e-05,9.950000000000001e-06,0.0
